UNITID,MDCOST_ALL,GRAD_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,MDEARN_PD,COUNT_NWNE_1YR,COUNT_WNE_1YR,PCTPELL,CDR2,CDR3,PELL_EVER,RPY_7YR_RT,GT_THRESHOLD_P11,COUNT_ED,AGE_ENTRY,FEMALE,MARRIED,DEPENDENT,VETERAN,FIRST_GEN,FAMINC,POVERTY_RATE,UNEMP_RATE
146205,NA,2625,2600,3000,NA,NA,NA,0.2355,NA,0.179,NA,0.5047923323,NA,NA,23.788519637,0.5599194361,0.1158106747,0.558408862,0.0231621349,0.4191651969,18286.615307,NA,NA
146241,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146278,NA,7100,4203,3755,NA,NA,NA,0.4966,NA,0.147,0.8425,0.6293969849,NA,NA,24.144166667,0.5708333333,0.135,0.5883333333,0.0091666667,0.4597701149,33316.521667,NA,NA
146296,NA,6950,4450,4269,NA,NA,NA,0.2266,NA,0.15,0.8588709677,0.4914712154,NA,NA,23.814091681,0.5921052632,0.0971986418,0.6460101868,0.0091256367,0.4799900572,35020.976868,NA,NA
146339,NA,22000,15802.5,14250,NA,NA,NA,0.439,NA,0.042,0.6058091286,0.7317073171,NA,NA,25.7593361,0.6182572614,0.1493775934,0.6113416321,NA,0.3440366972,61927.60166,NA,NA
146348,NA,7768.5,4267,4227.5,NA,NA,NA,0.4311,NA,0.215,0.8928369994,0.5867768595,NA,NA,25.407219402,0.6057529611,0.1269035533,0.4952058658,0.0141003948,0.5070707071,26939.547659,NA,NA
146366,NA,5500,4500,4290.5,NA,NA,NA,0.2876,NA,0.154,0.9580514208,NA,NA,NA,25.48714479,0.6657645467,0.1529093369,0.4891745602,0.0087956698,0.473151751,23308.198917,NA,NA
146393,NA,25506.5,11336,10166,NA,NA,NA,0.4014,NA,0.079,0.7142857143,0.6870342772,NA,NA,28.005102041,0.7744897959,0.1846938776,0.3826530612,0.0173469388,0.3861502347,43404.615306,NA,NA
146418,NA,6750,4750,4750,NA,NA,NA,0.3933,NA,0.19,0.877925654,0.5418060201,NA,NA,23.564938045,0.5442863699,0.0752638825,0.6553464892,0.0114731528,0.4810751509,29775.608536,NA,NA
146427,NA,27000,22475,23250,NA,NA,NA,0.2907,NA,0.033,0.569023569,0.8580246914,NA,NA,19.708754209,0.6127946128,NA,0.9747474747,NA,0.2230347349,69623.744108,NA,NA
146454,NA,11017,NA,NA,NA,NA,NA,0.68,NA,0.042,NA,0.5454545455,NA,NA,23.741935484,NA,NA,0.564516129,NA,0.56,27788.870968,NA,NA
146472,NA,4666,3500,3500,NA,NA,NA,0.1954,NA,0.126,0.9062656642,0.622611465,NA,NA,24.45839599,0.564160401,0.122556391,0.605764411,0.0112781955,0.5310407791,29177.552882,NA,NA
146481,NA,27000,25375,23750,NA,NA,NA,0.3321,NA,0.05,0.5929577465,0.8541666667,NA,NA,19.983098592,0.5591549296,NA,0.9478873239,NA,0.2538461538,83662.926761,NA,NA
146490,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146506,NA,4429,3444,3079,NA,NA,NA,0.2784,NA,0.175,0.8872762458,0.6089918256,NA,NA,24.259796807,0.5732946299,0.1344944364,0.5989356555,0.0120948234,0.4393530997,29470.469279,NA,NA
146533,NA,19500,16514.5,16617,NA,NA,NA,0.5063,NA,0.025,0.5627240143,0.83125,NA,NA,25.70609319,0.8673835125,0.1505376344,0.4982078853,NA,0.3802281369,49567.09319,NA,NA
146603,NA,4500,3500,3500,NA,NA,NA,0.2445,NA,0.1,0.7914825231,0.5745501285,NA,NA,23.962635597,0.5636801928,0.1056649257,0.6219365207,0.0088388911,0.443738657,36956.413821,NA,NA
146612,NA,24417,18500,15850,NA,NA,NA,0.3161,NA,0.04,0.5111910472,0.7668356264,NA,NA,22.820543565,0.5783373301,0.0739408473,0.760991207,0.0079936051,0.3773913043,73821.294964,NA,NA
146667,NA,22189.5,18750,15500,NA,NA,NA,0.5217,NA,0.061,0.7122807018,0.7368421053,NA,NA,25.796491228,0.4947368421,0.2421052632,0.5929824561,NA,0.3969465649,50476.45614,NA,NA
146676,NA,12000,8500,9000,NA,NA,NA,0.5927,NA,0.102,0.7958818263,0.5870307167,NA,NA,21.838854073,0.5407341092,0.0510295434,0.769919427,NA,0.4132492114,38367.593554,NA,NA
146685,NA,8652.5,4874.5,5260,NA,NA,NA,0.3507,NA,0.165,0.8713304185,0.5244029076,NA,NA,25.332604622,0.5940037477,0.1102435978,0.5178013741,0.0134291068,0.467185762,28376.067146,NA,NA
146700,NA,12950,10532,12000,NA,NA,NA,0.836,NA,0.164,0.8330384785,0.5576826196,NA,NA,25.100176913,0.3239716939,0.1057054401,0.5238832375,0.0221141088,0.5435203095,32397.491597,NA,NA
146719,NA,25000,21000,21638,NA,NA,NA,0.2817,NA,0.033,0.4541776249,0.8196721311,NA,NA,21.598422011,0.6850091038,0.0327736193,0.8100343921,0.0050576573,0.249516441,83153.630791,NA,NA
146728,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146755,NA,19000,15250,14750,NA,NA,NA,0.3462,NA,0.02,0.4770114943,0.7913043478,NA,NA,26.465517241,0.8850574713,0.1896551724,0.4540229885,NA,0.3597560976,58087.270115,NA,NA
146791,NA,5402,4800,5400,NA,NA,NA,0.9744,NA,0.246,0.9665218502,0.3196443692,NA,NA,30.163301814,0.3871709686,0.2062356248,0.2685918732,0.0472783031,0.6605981795,15531.354459,NA,NA
146807,NA,9500,NA,NA,NA,NA,NA,0.6538,NA,0.191,0.8378378378,0.7446808511,NA,NA,27.27027027,0.8378378378,NA,0.3108108108,NA,0.4603174603,19950.554054,NA,NA
146816,NA,23500,10815.5,7975,NA,NA,NA,0.6605,NA,0.1,0.835106383,0.4423076923,NA,NA,29.664893617,0.7978723404,0.0638297872,0.3404255319,NA,0.5172413793,23787.074468,NA,NA
146825,NA,27500,16000,17125,NA,NA,NA,0.5818,NA,0.108,0.6529562982,0.6545454545,NA,NA,21.989717224,0.5424164524,0.0539845758,0.7892030848,NA,0.3812154696,59745.264781,NA,NA
146977,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147004,NA,5165,4000,3500,NA,NA,NA,0.2549,NA,0.103,0.8386954606,0.6,NA,NA,24.260467166,0.5658880564,0.1132657558,0.5888056413,0.0268840899,0.4964788732,37363.484795,NA,NA
147013,NA,23911,14861,13749,NA,NA,NA,0.3622,NA,0.062,0.6280623608,0.764294049,NA,NA,24.599851522,0.5679287305,0.1729769859,0.6377134373,0.0081662955,0.3742971888,58232.899035,NA,NA
147031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147129,NA,30600.5,19675,20129,NA,NA,NA,0.4469,NA,0.03,0.6043165468,0.7272727273,NA,NA,26.450839329,0.8585131894,0.1846522782,0.381294964,NA,0.3952879581,49246.177458,NA,NA
147165,NA,33700.5,14173,14490,NA,NA,NA,0.6611,NA,0.069,0.8693333333,0.437357631,NA,NA,30.365333333,0.768,0.2133333333,0.1333333333,0.0826666667,0.5492957746,28459.656,NA,NA
147244,NA,27000,23500,18750,NA,NA,NA,0.4013,NA,0.071,0.6010452962,0.8100649351,NA,NA,21.511324042,0.5696864111,0.0653310105,0.8257839721,NA,0.3010251631,67055.687282,NA,NA
147341,NA,27454,23744,16250,NA,NA,NA,0.4231,NA,0.064,0.6233933162,0.7517482517,NA,NA,19.867609254,0.5462724936,NA,0.9473007712,NA,0.3328530259,66207.556555,NA,NA
147369,NA,NA,NA,NA,NA,NA,NA,0.398,NA,NA,NA,NA,NA,NA,25.151351351,0.4018018018,0.3018018018,0.4963963964,0.009009009,0.2774566474,29148.476577,NA,NA
147378,NA,8437.5,5290,4500,NA,NA,NA,0.2826,NA,0.097,0.9067497054,0.5632582322,NA,NA,23.492509679,0.5702743646,0.0871907086,0.6882679684,0.0085844134,0.5167958656,29885.554957,NA,NA
147396,NA,12000,NA,NA,NA,NA,NA,0.4947,NA,0.098,0.6052631579,0.7019230769,NA,NA,20.473684211,NA,NA,NA,NA,NA,63085.776316,NA,NA
147411,NA,8927,6052.5,4500,NA,NA,NA,0.5778,NA,0.162,0.9683578833,0.4408602151,NA,NA,22.289689034,0.5591925805,0.0638297872,0.726132024,0.0087288598,0.6931567329,24580.612657,NA,NA
147439,NA,14830,NA,NA,NA,NA,NA,0.7043,NA,0.057,0.8333333333,0.3950617284,NA,NA,25.5,NA,NA,0.3452380952,NA,0.5555555556,26274.547619,NA,NA
147536,NA,16900,11333,9322,NA,NA,NA,0.5046,NA,0.036,0.5633055345,0.6407322654,NA,NA,32.93328279,0.7960576194,0.233510235,0.1470811221,0.0242608036,0.4558823529,38072.968916,NA,NA
147590,NA,12500,9702,8690.5,NA,NA,NA,0.3967,NA,0.036,0.4152542373,0.7642276423,NA,NA,28.516949153,0.6694915254,0.1271186441,0.2288135593,NA,0.3796296296,35579.864407,NA,NA
147642,NA,NA,NA,NA,NA,NA,NA,0.4059,NA,0.029,NA,0.7368421053,NA,NA,28.245283019,NA,0.3018867925,0.3018867925,NA,0.6756756757,20996.358491,NA,NA
147660,NA,25500,21000,18990,NA,NA,NA,0.2567,NA,0.033,0.3708571429,0.8684759916,NA,NA,20.934285714,0.4611428571,0.0171428571,0.8965714286,NA,0.2268102932,76904.961714,NA,NA
147679,NA,26250,17610,14737,NA,NA,NA,0.3775,NA,0.052,0.612745098,0.7535596933,NA,NA,22.670751634,0.6339869281,0.0718954248,0.7704248366,NA,0.3544877607,62267.545752,NA,NA
147697,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147703,NA,23000,16397,15000,NA,NA,NA,0.4433,NA,0.069,0.6553016989,0.7614189295,NA,NA,21.764850615,0.5089630931,0.0410076157,0.791446983,0.0058582308,0.3686947478,57598.380785,NA,NA
147749,NA,29571,15455.5,9500.5,NA,NA,NA,0.9518,NA,0.135,0.8818181818,0.3996852872,NA,NA,29.306060606,0.8098484848,0.1515151515,0.2409090909,0.0393939394,0.5351681957,20704.424242,NA,NA
147767,NA,16905,14500,15500,NA,NA,NA,0.14,NA,0.01,0.373364486,0.9298799747,NA,NA,20.791588785,0.5228971963,0.023364486,0.8420560748,NA,0.1411935953,97160.835514,NA,NA
147776,NA,13800,10054,10000,NA,NA,NA,0.4836,NA,0.061,0.8290823034,0.6883468835,NA,NA,25.437023403,0.5813831186,0.0957139101,0.5316855114,0.0144622666,0.5017667845,32223.183802,NA,NA
147800,NA,4500,3495,3500,NA,NA,NA,0.1952,NA,0.076,0.9663597734,0.8151260504,NA,NA,23.77266289,0.5555949008,0.1111898017,0.6597025496,0.0084985836,0.443254818,23835.529037,NA,NA
147819,NA,9833,NA,NA,NA,NA,NA,0.6824,NA,0.078,0.7594936709,0.6063829787,NA,NA,23.050632911,NA,0.1265822785,0.582278481,NA,0.4264705882,40860.582278,NA,NA
147828,NA,25000,18203,16892,NA,NA,NA,0.3292,NA,0.043,0.5131067961,0.7802575107,NA,NA,22.761165049,0.6305825243,0.0815533981,0.7723300971,0.0048543689,0.2768679632,73141.039806,NA,NA
147916,NA,7000,3895.5,4000,NA,NA,NA,0.3297,NA,0.219,0.8157758173,0.5150968905,NA,NA,23.914115205,0.5155682408,0.0936689154,0.5934094447,0.0199792423,0.4098360656,33759.595485,NA,NA
147970,NA,13833,NA,NA,NA,NA,NA,0.3625,NA,0.063,0.7316176471,0.628458498,NA,NA,24.511029412,0.9522058824,0.0808823529,0.5073529412,NA,0.4935064935,40388.540441,NA,NA
148007,NA,9500,5000,4750,NA,NA,NA,0.4579,NA,0.118,0.901592719,0.4973684211,NA,NA,25.343572241,0.6146188851,0.0693970421,0.5662684869,0.0130830489,0.3944922547,24579.676621,NA,NA
148016,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148098,NA,NA,NA,NA,NA,NA,NA,0.6143,NA,0.2,NA,NA,NA,NA,24.382978723,NA,NA,0.5106382979,NA,0.5405405405,33041.12766,NA,NA
148131,NA,22633,14300,15856,NA,NA,NA,0.4189,NA,0.066,0.595712098,0.7777777778,NA,NA,21.537519142,0.5528330781,0.0581929556,0.8223583461,NA,0.3425324675,66797.908116,NA,NA
148140,NA,23812,13292,14834,NA,NA,NA,0.215,NA,0.152,0.921630094,0.3914081146,NA,NA,29.072100313,0.500522466,0.1954022989,0.2863113898,NA,0.4855345912,20425.887147,NA,NA
148177,NA,29000,11334,10500,NA,NA,NA,0.6413,NA,0.143,0.8016784452,0.6012207528,NA,NA,23.652826855,0.5256183746,0.0567579505,0.6497349823,0.0106007067,0.4160640496,32994.999117,NA,NA
148256,NA,3500,3500,4000,NA,NA,NA,0.367,NA,0.122,NA,0.5143403442,NA,NA,24.297619048,0.5723443223,0.1501831502,0.5586080586,0.0210622711,0.4752370917,20872.429487,NA,NA
148292,NA,7400,3500,3196,NA,NA,NA,0.3808,NA,0.243,0.9303251493,0.5208333333,NA,NA,26.349037823,0.6204379562,0.1386861314,0.4392833444,0.0305242203,0.5346774194,23567.14134,NA,NA
148335,NA,24020,12500,9500,NA,NA,NA,0.6073,NA,0.057,0.7713549337,0.5225246363,NA,NA,23.980486009,0.4988954345,0.0666421208,0.6395434462,0.0162002946,0.4611953613,42251.374816,NA,NA
148380,NA,5031,3335,3120,NA,NA,NA,0.3703,NA,0.185,0.9181731684,0.5268138801,NA,NA,24.658420552,0.5997462734,0.0999048525,0.5692990802,0.0095147479,0.5020468924,28871.929591,NA,NA
148399,NA,16062,6334,12000,NA,NA,NA,0.8037,NA,0.12,0.835,0.6282894737,NA,NA,26.420625,0.6225,0.110625,0.370625,0.01125,0.4764044944,29436.983125,NA,NA
148405,NA,25250,19250,15000,NA,NA,NA,0.5113,NA,0.072,0.6752021563,0.7455782313,NA,NA,23.815363881,0.6078167116,0.1037735849,0.6711590296,NA,0.4515151515,52797.591644,NA,NA
