UNITID,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,INEXPFTE,ENDOWBEGIN,ENDOWEND
478953,NA,NA,NA,4235,NA,NA
479053,NA,NA,NA,3037,NA,NA
479062,NA,NA,NA,11457,NA,NA
479123,NA,NA,NA,3859,NA,NA
479248,NA,NA,NA,1725,NA,NA
479424,NA,NA,NA,4506,NA,NA
479549,18048,18048,4588,1072,NA,NA
479558,18048,18048,5009,1262,NA,NA
479567,NA,NA,NA,3865,NA,NA
479585,NA,NA,3333,1499,NA,NA
479594,18048,18048,5363,2558,NA,NA
479600,18048,18048,NA,1276,NA,NA
479619,NA,NA,5471,8995,NA,NA
479628,18048,18048,3792,1250,NA,NA
479637,18048,18048,4583,983,NA,NA
479646,18048,18048,5311,2318,NA,NA
479655,18048,18048,3929,1503,NA,NA
479664,NA,NA,NA,3498,NA,NA
479956,13516,13516,4415,4260,1962818274,2309928721
479965,NA,NA,NA,3627,NA,NA
479974,NA,NA,NA,5878,NA,NA
479983,NA,NA,NA,2065,NA,NA
479992,NA,NA,NA,1427,NA,NA
480000,NA,NA,NA,906,NA,NA
480019,NA,NA,NA,5226,NA,NA
480028,NA,NA,NA,4712,NA,NA
480037,NA,NA,NA,10387,NA,NA
480064,10710,10710,5328,1534,NA,NA
480073,16360,16360,6867,10871,NA,NA
480082,16360,16360,5019,8516,NA,NA
480091,13533,13533,3569,837,NA,NA
480107,13932,13932,3217,3329,NA,NA
480125,NA,NA,NA,1680,NA,NA
480134,NA,NA,NA,6506,65916567,73066204
480143,NA,NA,7091,4747,NA,NA
480161,NA,NA,NA,11718,NA,NA
480170,NA,NA,NA,3169,NA,NA
480189,16900,16900,5143,13635,2287000,2330087
480198,10800,10800,NA,6480,14374399,15293247
480204,14820,14820,5724,4045,NA,NA
480301,NA,NA,8104,21921,NA,NA
480310,NA,NA,NA,5315,NA,NA
480329,NA,NA,NA,4184,NA,NA
480338,NA,NA,NA,6317,NA,NA
480347,NA,NA,NA,2802,NA,NA
480356,NA,NA,NA,2403,NA,NA
480480,11550,11550,3293,4513,NA,NA
480514,NA,NA,NA,2194,NA,NA
480523,NA,NA,NA,2495,NA,NA
480532,NA,NA,NA,1569,NA,NA
480550,NA,NA,2271,1505,NA,NA
480569,NA,NA,7175,1697,54539692,61122532
480657,10764,10764,5458,7931,NA,NA
480693,NA,NA,NA,1788,NA,NA
480727,NA,NA,NA,8297,NA,NA
480736,NA,NA,NA,3846,NA,NA
480754,5900,5900,1333,6093,NA,NA
480781,8050,8050,NA,1257,NA,NA
480790,NA,NA,NA,16467,NA,NA
480815,13932,13932,3437,2965,NA,NA
480824,NA,NA,4190,4336,NA,NA
480833,NA,NA,4261,7567,NA,NA
480842,NA,NA,NA,2893,NA,NA
