SCL_UNITID	SCL_NAME	SCL_DIVISION	SCL_SUBDIVISION	SCL_CONFERENCE	SCL_HBCU	SCL_PRIVATE	SPORT	FED_RATE	ASR
108092	University of Arkansas-Fort Smith	2	0	Heartland Conference	2	0	WVB	63	63
108232	Academy of Art University	2	0	Pacific West Conference	2	1	WVB	40	77
108232	Academy of Art University	2	0	Pacific West Conference	2	1	MBA	50	38
108232	Academy of Art University	2	0	Pacific West Conference	2	1	MGO	50	40
108232	Academy of Art University	2	0	Pacific West Conference	2	1	MTR	78	64
108232	Academy of Art University	2	0	Pacific West Conference	2	1	WTR	40	45
108232	Academy of Art University	2	0	Pacific West Conference	2	1	MBB	20	56
108232	Academy of Art University	2	0	Pacific West Conference	2	1	WSB	17	56
108232	Academy of Art University	2	0	Pacific West Conference	2	1	MSO	57	47
108232	Academy of Art University	2	0	Pacific West Conference	2	1	WSO	30	45
108232	Academy of Art University	2	0	Pacific West Conference	2	1	WGO	-99	100
108232	Academy of Art University	2	0	Pacific West Conference	2	1	WTE	100	100
108232	Academy of Art University	2	0	Pacific West Conference	2	1	WBB	50	90
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	WVB	76	100
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	WSO	80	83
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	MBB	71	69
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	MBA	69	68
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	MSO	50	65
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	WWP	75	83
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	WSB	50	70
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	MTE	88	100
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	WSW	100	88
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	WTE	75	100
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	WTR	82	81
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	MFB	53	66
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	WBB	70	68
109785	Azusa Pacific University	2	0	Pacific West Conference	2	1	MTR	50	65
110361	California Baptist University	2	0	Pacific West Conference	2	1	MGO	40	78
110361	California Baptist University	2	0	Pacific West Conference	2	1	WVB	65	100
110361	California Baptist University	2	0	Pacific West Conference	2	1	MNO	100	100
110361	California Baptist University	2	0	Pacific West Conference	2	1	MWR	58	67
110361	California Baptist University	2	0	Pacific West Conference	2	1	MWP	64	95
110361	California Baptist University	2	0	Pacific West Conference	2	1	WGO	44	86
