unitid,athletic_revenues,royalties,tv_revenue,ticket_sales,subsidy,direct_state_govt_support,ncaa_distributions,indirect_facil_admin_support,endowments,other_revenues,athletic_expenses,student_fees,net_revenue
156125,24481122,2056377,306292,4040772,7514236,0,848026,1647188,143651,10021711,23514736,3110501,966386
142115,45706336,4677490,1691,8427884,11799384,2515800,4763331,1974714,0,16038247,45680801,3416104,25535
110556,36038183,3191754,0,7891714,13101250,0,5047091,1759023,148205,6806374,36436560,4213670,-398377
126818,38739665,2330419,0,3342818,20029364,0,3230775,2404465,75595,9806289,36944157,5264541,1795508
182281,44057560,3089610,0,5627480,19783274,7038125,3650818,7826035,203223,11906378,44467342,2626923,-409782
182290,27324338,1053352,400000,3957254,10685143,4965230,3181471,1767831,333423,8447118,27734777,2467011,-410439
187985,47199769,5670357,32715,6769173,17239472,2592400,4072744,7793675,331935,13448023,47223319,4000000,-23550
122755,29666940,603900,722975,1483717,18276682,0,2233887,652517,257484,7068754,28065957,7847970,1600983
230728,25152919,512225,0,2438203,14179545,181525,3160254,1760844,174852,4862692,25707325,4027277,-554406
240727,32336367,1309235,0,3759013,16097463,0,3891786,743208,158674,7278870,32966973,1836843,-630606
128771,14731018,254254,0,66384,12959383,0,335837,2531052,111100,1115160,14731018,0,0
219602,12091296,418291,0,155783,7954748,0,667156,703888,488103,2895318,12698929,2084531,-607633
144892,13275858,225080,0,259134,9524251,0,1307117,433204,59603,1960276,13074791,1653088,201067
156620,13033265,133915,0,275869,10432816,0,980918,0,0,1209747,13033263,0,2
157386,10833587,73688,0,134958,9341671,0,687848,1359079,0,595422,10833587,0,0
157401,17217807,667420,0,1151271,11236842,0,779407,3074708,97289,3382867,15673736,2914831,1544071
179557,11173471,210816,7000,435878,8220874,0,877686,456015,861,1428217,11257184,1288179,-83713
149231,8515931,253754,0,90495,6744809,0,240790,100000,0,1186083,8289619,4572377,226312
221768,9709378,30600,0,80664,7234518,0,537572,0,0,1826024,9709378,1923262,0
221847,14562733,437927,10000,306382,11179898,0,764918,1672948,414778,1873608,13634913,4292050,927820
217864,14144606,419492,0,854319,9327235,0,527845,0,0,3015715,13613427,5631796,531179
220075,17088793,569421,0,342414,14071113,0,528805,2506041,42617,1577040,14808421,6787772,2280372
199148,14646547,526417,0,259634,11860371,0,482527,2700000,24136,1517598,14509390,8750371,137157
221740,16046057,422808,0,796382,11667988,0,526462,0,239917,2632417,16046057,4908215,0
200004,11436428,352919,0,332396,7581603,0,542095,846333,24517,2627415,11466187,5444083,-29759
106704,11750081,336088,0,426030,8760294,0,917792,25000,35300,1309877,11498696,4838092,251385
226091,16147857,468197,0,508829,12427089,0,525514,231328,52988,2218228,15880006,4520335,267851
159717,10926299,654733,2235,1161426,5130197,0,882651,188506,34,3097292,10911542,638174,14757
159939,5224996,159996,0,144447,1725273,0,82524,112734,0,3112756,5365672,1612539,-140676
159966,8113231,21642,1030,168488,4718258,0,418016,205524,0,2786827,8102040,2273432,11191
160038,11996507,604236,0,439038,7624437,0,656191,1021147,225033,2672605,11621515,731111,374992
227881,14892104,496155,8153,549529,10629147,0,835825,518135,244271,2381448,14412775,7811718,479329
228431,15697105,167267,150,265441,13364737,0,512379,1218706,13461,1387281,15924910,1281000,-227805
224147,10540420,299772,0,162680,8600266,0,229444,887509,1487,1248258,10272816,5499061,267604
175342,6340123,0,0,200151,5329700,1300000,67000,508180,0,743272,6601425,1233571,-261302
106412,7785707,67000,0,378373,6037876,0,262863,711132,0,1039595,7816300,952738,-30593
159009,5389368,90468,0,744976,2920597,0,221575,0,0,1411752,7311320,0,-1921952
176044,3952319,0,0,181383,2172228,0,267200,0,0,1331508,3952319,769574,0
227526,10761388,294820,0,294600,8272437,0,597153,811434,8765,1302378,10541202,2072578,220186
160621,10153053,1580543,0,1958960,5071085,0,386065,0,0,1156400,9237128,2622692,915925
197869,19414754,1006425,69238,1951631,10283987,0,1128683,423111,0,5044028,19320283,9260876,94471
106245,9584293,657237,0,450204,6195669,0,610184,0,58357,1670999,9151451,4202794,432842
106458,20151793,644444,0,1455252,10642341,0,1664389,0,191572,5745367,20151793,4629080,0
139931,18929350,2114899,16742,1086185,13550186,0,337489,0,0,1840591,18109721,9542787,819629
139940,27093316,726961,0,654347,20692717,0,1708197,1307327,0,3311094,27488640,17598102,-395324
160658,21297114,970306,41435,3529934,5649393,0,1985045,61704,32302,9162436,21542643,0,-245529
102094,23091728,473726,0,1406241,17883165,0,1470004,0,0,1858592,22960759,7842498,130969
228769,11781630,132062,0,199548,10152846,0,433793,1152445,43634,863381,13068075,5279103,-1286445
228459,32190191,1065114,0,859860,23570803,0,1274588,0,61616,5419826,28378049,16949255,3812142
102368,24628741,137029,0,463063,17834972,0,1241162,5918134,0,4952515,24628741,1014429,0
151102,7393037,181842,0,110841,5428905,0,474258,358000,136620,1197191,7629868,1787267,-236831
151111,8179405,213909,0,46174,7184587,0,418028,136368,0,316707,8350718,3093396,-171313
181394,13693874,562918,0,2057133,9243641,0,40845,2025356,0,1789337,13693874,1285944,0
200332,20712638,1539931,0,3745595,7994050,2588180,1000591,0,309530,6432471,20618838,1136761,93800
219471,14879307,627984,0,491217,10697633,0,189128,2800192,115410,2873345,14686675,1540890,192632
219356,15617366,1650212,45929,1454928,8506913,515197,1578637,758070,298923,2426676,15700589,2516172,-83223
149772,12098077,122660,0,126439,9118895,47000,1089023,338457,36291,1641060,13025873,3855594,-927796
178402,11467676,89472,0,98469,9592075,0,217924,375712,9055,1469736,13904761,1229782,-2437085
188030,29287917,2380071,0,1559403,20353201,3179200,1434401,3680029,46143,3560841,29513451,3562370,-225534
230737,11191569,207633,NULL,48416,9601419,0,699262,1450756,6096,634839,10519095,4391352,672474
100724,14070309,184750,0,1401730,10750355,4000,790160,0,0,943314,14070309,0,0
110583,16703611,163834,0,615629,10627432,0,603282,982147,37785,4693434,16703391,3875779,220
163338,5554601,11029,0,11448,4708513,0,224538,0,0,599073,5554601,2215660,0
